SAT.Earth.ECC;SAT.ElapsedSecs;SAT.EarthMJ2000Eq.RA;SAT.Earth.TA;SAT.EarthMJ2000Eq.RAAN;SAT.EarthMJ2000Eq.INC;SAT.EarthMJ2000Eq.AOP;SAT.EarthICRF.AOP;SAT.EarthICRF.INC;SAT.EarthICRF.RAAN;SAT.EarthICRF.RA;
0.151373682;20082.96516;-12.05563264;312.3444741;34.26667655;4.996387383;1.224278901;1.224417886;4.996382823;34.26653816;-12.05563221;
0.151454879;20199.9123;-5.764458778;318.6059632;34.26139593;4.996874673;1.260702031;1.260841007;4.996870114;34.26125756;-5.764458465;
0.151527967;20314.81876;0.535138114;324.8770965;34.25734279;4.997342178;1.299865573;1.30000454;4.997337621;34.25720442;0.535138329;
0.151591402;20427.94193;6.838922122;331.1537667;34.25445453;4.997764756;1.341398828;1.341537785;4.997760199;34.25431618;6.838922256;
0.151643823;20539.54577;13.14286417;337.4319214;34.25260073;4.998119355;1.384899793;1.385038741;4.998114799;34.25246238;13.14286425;
0.15168411;20649.90019;19.44324975;343.7076853;34.25159117;4.9983864;1.429941928;1.43008087;4.998381844;34.25145283;19.44324979;
0.151711415;20759.27954;25.73670785;349.977414;34.25118769;4.998550909;1.476080251;1.476219188;4.998546353;34.25104935;25.73670789;
0.151725205;20867.96438;32.02038722;356.237902;34.25111863;4.998603319;1.522859032;1.522997968;4.998598763;34.25098029;32.02038728;
0.151725273;20976.23373;38.29155757;2.486019973;34.25109491;4.998539964;1.569816182;1.56995512;4.998535408;34.25095657;38.29155768;
0.151711751;21084.36809;44.54780627;8.718947877;34.25082677;4.998363241;1.616492987;1.616631929;4.998358685;34.25068843;44.54780645;
0.1516851;21192.64691;50.78690252;14.93407389;34.25004033;4.998081419;1.662441909;1.66258086;4.998076864;34.24990198;50.78690279;
0.151646083;21301.34489;57.00658919;21.12881895;34.24849319;4.997708146;1.707233567;1.707372529;4.997703591;34.24835482;57.00658956;
0.151595735;21410.7331;63.20466386;27.3007447;34.24598808;4.997261632;1.750464776;1.750603752;4.997257078;34.24584971;63.20466435;
0.151535303;21521.07459;69.37875701;33.44735436;34.24238403;4.996763585;1.791762785;1.791901778;4.996759031;34.24224563;69.37875762;
0.151487132;21600;73.73898426;37.78728663;34.23911912;4.996392394;1.819677293;1.8198163;4.996387841;34.23898072;73.73898495;
0.151448229;21660;77.01916621;41.05173315;34.23625901;4.996108511;1.839915019;1.840054036;4.996103958;34.23612059;77.01916696;
0.151380038;21759.78097;82.40298938;46.40893286;34.23081509;4.995644602;1.87158202;1.871721054;4.995640051;34.23067666;82.40299023;
0.151298714;21873.141;88.40414348;52.37944264;34.22368853;4.995147737;1.904410203;1.904549258;4.995143187;34.22355008;88.40414444;
0.151212522;21989.81454;94.44469703;58.38847682;34.21548502;4.994689703;1.934593257;1.934732331;4.994685155;34.21534654;94.44469807;
0.151123765;22108.79126;100.4563308;64.36855677;34.20644337;4.994294558;1.9615706;1.961709694;4.994290012;34.20630488;100.4563319;
0.151033889;22230.14065;106.4299978;70.31127288;34.1967794;4.993977057;1.985172018;1.985311129;4.993972513;34.19664089;106.4299989;
0.150944124;22354.03371;112.3631118;76.21470906;34.1867239;4.993746797;2.0053025;2.005441626;4.993742255;34.18658537;112.363113;
0.150855539;22480.64185;118.254317;82.07821032;34.17651439;4.993608546;2.021911649;2.022050788;4.993604007;34.17637585;118.2543182;
0.150769047;22610.12187;124.1028614;87.90173105;34.16638281;4.993562488;2.034988649;2.035127798;4.99355795;34.16624426;124.1028625;
0.150685414;22742.61102;129.9085072;93.68571673;34.15654438;4.993604673;2.044559671;2.044698828;4.993600138;34.15640582;129.9085083;
0.150605266;22878.22848;135.6717264;99.43127179;34.14718859;4.993727658;2.05068551;2.050824672;4.993723126;34.14705003;135.6717274;
0.15052911;23017.06544;141.3933978;105.1398337;34.13847367;4.99392123;2.053458276;2.05359744;4.993916699;34.13833511;141.3933987;
0.150457348;23159.18877;147.075085;110.8134293;34.13052268;4.994173174;2.052998866;2.053138029;4.994168645;34.13038412;147.0750859;
0.150390303;23304.62981;152.7186898;116.4543121;34.12342285;4.994469999;2.049454116;2.049593278;4.994465472;34.12328428;152.7186905;
0.15032823;23453.3831;158.3265194;122.0650165;34.11722601;4.994797603;2.042994584;2.043133742;4.994793077;34.11708746;158.32652;
0.150271333;23605.40671;163.9013811;127.6484443;34.11195052;4.995141853;2.033812108;2.033951261;4.995137328;34.11181197;163.9013816;
0.150219777;23760.62221;169.4466271;133.2079066;34.10758414;4.995489077;2.022117257;2.022256404;4.995484553;34.1074456;169.4466275;
0.150173698;23918.90194;174.9657283;138.7466965;34.10408789;4.995826405;2.008138018;2.008277159;4.995821882;34.10394935;174.9657286;
0.15013321;24080.07606;-179.537462;144.2683582;34.10139941;4.996142086;1.992117366;1.992256499;4.996137563;34.10126088;-179.5374618;
0.150098411;24243.93345;-174.0587177;149.7766841;34.09943669;4.996425685;1.974311087;1.974450214;4.996421163;34.09929816;-174.0587176;
0.150069382;24410.22107;-168.5935377;155.2756282;34.0981016;4.996668227;1.954985979;1.955125101;4.996663706;34.09796308;-168.5935376;
0.150046192;24578.64619;-163.1371821;160.7692823;34.09728317;4.996862288;1.934418003;1.93455712;4.996857767;34.09714466;-163.1371821;
0.150028901;24748.87873;-157.6847442;166.2618183;34.09686052;4.997002048;1.912890647;1.91302976;4.996997527;34.09672201;-157.6847441;
0.150017556;24920.55659;-152.2311635;171.7574916;34.0967055;4.997083326;1.890693142;1.890832252;4.997078805;34.09656699;-152.2311635;
0.150012194;25093.29275;-146.7712201;177.2606653;34.09668512;4.9971036;1.8681186;1.868257709;4.997099079;34.09654661;-146.77122;
0.150012841;25266.67587;-141.2997671;182.7755942;34.09666382;4.997062019;1.84546313;1.84560224;4.997057498;34.09652531;-141.299767;
0.150019512;25440.28401;-135.8115747;188.3066031;34.09650563;4.996959413;1.823023258;1.823162371;4.996954893;34.09636712;-135.8115745;
0.15003221;25613.68769;-130.3015315;193.8579047;34.09607641;4.996798308;1.80109464;1.801233757;4.996793788;34.09593789;-130.3015312;
0.150050924;25786.45378;-124.7648367;199.4334287;34.09524617;4.996582938;1.779970429;1.780109553;4.996578417;34.09510765;-124.7648364;
0.150075631;25958.16206;-119.1967951;205.0370518;34.09389168;4.99631924;1.759937766;1.760076898;4.99631472;34.09375315;-119.1967947;
0.150106296;26128.40078;-113.5932843;210.6721506;34.09189941;4.996014859;1.741276519;1.741415661;4.996010339;34.09176087;-113.5932838;
0.15014287;26296.78636;-107.9504323;216.3419504;34.08916875;4.995679086;1.724254918;1.724394071;4.995674568;34.08903019;-107.9504316;
0.150185291;26462.9588;-102.2650655;222.0490965;34.08561577;4.995322794;1.709127883;1.709267049;4.995318276;34.08547721;-102.2650647;
